email,password
admin@healthpro.test,Admin123!
ana.medina@example.com,Medico123!
luis.paz@example.com,Paciente123!
julieta.rossi@example.com,Paciente123!
mariano.quiroga@example.com,Paciente123!
carla.benitez@example.com,Paciente123!
rafael.delgado@example.com,Paciente123!
lucia.mendez@example.com,Paciente123!
gaston.saavedra@example.com,Paciente123!
melina.ponce@example.com,Paciente123!
sergio.lagos@example.com,Paciente123!
patricia.ortega@example.com,Paciente123!
mauricio.herrera@example.com,Paciente123!
daniela.vega@example.com,Paciente123!
pacienteTest@gmail.com, Lo2018nag$
